epoch,loss,val_loss,acc,val_acc
1,1.4495187997817993,2.2892749309539795,0.46252501010894775,0.3488999903202057
2,1.0611286163330078,2.3359882831573486,0.6194499731063843,0.3587999939918518
3,0.9040511846542358,1.2830829620361328,0.6806750297546387,0.5676000118255615
4,0.7731439471244812,1.0911279916763306,0.7307500243186951,0.6327000260353088
5,0.6821687817573547,1.2343908548355103,0.7615500092506409,0.6283000111579895
6,0.6196886301040649,1.341711163520813,0.7837250232696533,0.5615000128746033
7,0.5680785179138184,1.5977263450622559,0.8016250133514404,0.5565000176429749
8,0.511583685874939,1.1054470539093018,0.8231250047683716,0.6660000085830688
9,0.4757549464702606,0.9231587648391724,0.8346999883651733,0.7200000286102295
10,0.4265349805355072,0.8940720558166504,0.8536999821662903,0.7416999936103821
11,0.4018894135951996,1.033364176750183,0.8633249998092651,0.7160000205039978
12,0.37109583616256714,1.0149531364440918,0.8723999857902527,0.7383000254631042
13,0.3398551642894745,1.09783935546875,0.8801500201225281,0.708899974822998
14,0.32096368074417114,1.4764869213104248,0.888450026512146,0.6500999927520752
15,0.28941991925239563,1.510130524635315,0.899150013923645,0.6463000178337097
16,0.2733951508998871,1.212678074836731,0.9047750234603882,0.7028999924659729
17,0.2612171471118927,1.324052095413208,0.908424973487854,0.6854000091552734
18,0.2391205132007599,2.4421327114105225,0.9153749942779541,0.5189999938011169
19,0.23203511536121368,1.7305915355682373,0.918874979019165,0.5824000239372253
20,0.2109600007534027,1.178107500076294,0.9254500269889832,0.7386999726295471
21,0.19358281791210175,1.2289237976074219,0.9312750101089478,0.7433000206947327
22,0.1804225593805313,1.3225566148757935,0.9367250204086304,0.7490000128746033
23,0.16831569373607635,0.835727334022522,0.9410250186920166,0.8248000144958496
24,0.15517953038215637,1.0916160345077515,0.9449499845504761,0.7770000100135803
25,0.14934204518795013,0.9939519166946411,0.9475749731063843,0.7838000059127808
26,0.1503421813249588,1.6293377876281738,0.9473249912261963,0.704800009727478
27,0.1384623497724533,1.5295851230621338,0.9506999850273132,0.7401000261306763
28,0.1281203031539917,1.3639473915100098,0.9546250104904175,0.7671999931335449
29,0.11872375011444092,1.283960223197937,0.9585000276565552,0.7508000135421753
30,0.11928293853998184,1.060524344444275,0.9591000080108643,0.7912999987602234
31,0.11485106498003006,2.2305495738983154,0.9591249823570251,0.6859999895095825
32,0.10364032536745071,1.1874167919158936,0.9637500047683716,0.7853999733924866
33,0.10427072644233704,1.6898573637008667,0.9629999995231628,0.7085999846458435
34,0.09693432599306107,3.0935466289520264,0.9655500054359436,0.5996000170707703
35,0.09225828945636749,1.317266821861267,0.968500018119812,0.7689999938011169
36,0.08951282501220703,1.074377179145813,0.9683250188827515,0.8095999956130981
37,0.08483444899320602,1.4983248710632324,0.9699500203132629,0.7645999789237976
38,0.08371879905462265,1.371586561203003,0.9710000157356262,0.7799999713897705
39,0.08394495397806168,1.7140390872955322,0.9703750014305115,0.7437999844551086
40,0.08415748924016953,1.1198270320892334,0.9700000286102295,0.8108000159263611
41,0.0776476114988327,1.236650824546814,0.9725499749183655,0.7878000140190125
42,0.07520969212055206,1.2310569286346436,0.9734249711036682,0.7912999987602234
43,0.06781928241252899,1.334270715713501,0.9761499762535095,0.7868000268936157
44,0.07406733930110931,0.9862161874771118,0.9742249846458435,0.8271999955177307
45,0.0684073343873024,1.6540892124176025,0.9765999913215637,0.7497000098228455
46,0.06396693736314774,1.1954656839370728,0.9775999784469604,0.8133999705314636
47,0.06583727151155472,1.2144765853881836,0.9764000177383423,0.8192999958992004
48,0.06272052973508835,1.080534815788269,0.9782000184059143,0.8190000057220459
49,0.05994347482919693,1.18336021900177,0.9792500138282776,0.8154000043869019
